id,name,iso2,iso3,flag_url,location,description,primary_category,primary_category_colour,primary_category_icon,primary_value,secondary_category,secondary_category_colour,secondary_category_icon,secondary_value,colour1,colour2,colour3,colour4,colour5,colour1_url,colour2_url,colour3_url,colour4_url,colour5_url,symbol1,symbol2,symbol3,symbol1_url,symbol2_url,symbol3_url,pattern1,pattern1_url,points
afghanistan,Afghanistan,AF,AFG,https://clintongreen.github.io/vexx-assets/flags/af.png,Asia • Southern Asia,"The black, red and green tricolour represents the nation's past, sacrifice and hope for the future.",Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Landlocked,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,Dari,red,white,black,green,,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,6
albania,Albania,AL,ALB,https://clintongreen.github.io/vexx-assets/flags/al.png,Europe • Southeast Europe,The black double-headed eagle reflects the legacy of Skanderbeg and Albania's independence.,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,Albanian,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Coastal,red,black,,,,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,eagle,,,https://clintongreen.github.io/vexx-assets/symbols/eagle.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,5
algeria,Algeria,DZ,DZA,https://clintongreen.github.io/vexx-assets/flags/dz.png,Africa • Northern Africa,The green and white fields symbolize Islam and peace while the red crescent and star represent faith.,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"2,381,741 km²",Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,46.8 million,white,green,red,,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/green.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,crescent,star,,https://clintongreen.github.io/vexx-assets/symbols/crescent.png,https://clintongreen.github.io/vexx-assets/symbols/star.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,7
andorra,Andorra,AD,AND,https://clintongreen.github.io/vexx-assets/flags/ad.png,Europe • Southern Europe,The tricolour reflects ties to neighbouring nations while the coat of arms represents the country's history.,Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,"81,938",Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Constitutional monarchy,black,yellow,red,white,navy,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/navy.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,7
angola,Angola,AO,AGO,https://clintongreen.github.io/vexx-assets/flags/ao.png,Africa • Middle Africa,The red and black fields recall the struggle for independence while the emblem represents workers and progress.,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Republic,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"1,246,700 km²",yellow,black,red,,,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,5
antigua-and-barbuda,Antigua and Barbuda,AG,ATG,https://clintongreen.github.io/vexx-assets/flags/ag.png,North America • Caribbean,The rising sun symbolizes a new beginning above the sea and golden beaches.,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Island,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,English,white,black,blue,red,yellow,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/black.png,https://clintongreen.github.io/vexx-assets/colours/blue.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,sun,,,https://clintongreen.github.io/vexx-assets/symbols/sun.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,chevron,https://clintongreen.github.io/vexx-assets/patterns/chevron.png,9
argentina,Argentina,AR,ARG,https://clintongreen.github.io/vexx-assets/flags/ar.png,South America • South America,The Sun of May represents freedom and the birth of the nation.,Language,#D8CFE8,https://clintongreen.github.io/vexx-assets/categories/language.png,Guaraní,Geography,#B7D4EA,https://clintongreen.github.io/vexx-assets/categories/geography.png,Coastal,red,yellow,blue,white,,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/blue.png,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,sun,,,https://clintongreen.github.io/vexx-assets/symbols/sun.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,,https://clintongreen.github.io/vexx-assets/patterns/blank.png,7
armenia,Armenia,AM,ARM,https://clintongreen.github.io/vexx-assets/flags/am.png,Asia • Western Asia,"The red, blue and orange tricolour represents the people's past, sky and hard work.",Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"29,743 km²",Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,3 million,red,navy,yellow,,,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/navy.png,https://clintongreen.github.io/vexx-assets/colours/yellow.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,horizontal-triband,https://clintongreen.github.io/vexx-assets/patterns/horizontal-triband.png,6
australia,Australia,AU,AUS,https://clintongreen.github.io/vexx-assets/flags/au.png,Oceania • Australia and New Zealand,The Union Jack and Southern Cross reflect history and geography.,Population,#EFC8D7,https://clintongreen.github.io/vexx-assets/categories/population.png,27.2 million,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Constitutional monarchy,white,red,navy,,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/navy.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,star,union-jack,,https://clintongreen.github.io/vexx-assets/symbols/star.png,https://clintongreen.github.io/vexx-assets/symbols/union-jack.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,canton,https://clintongreen.github.io/vexx-assets/patterns/canton.png,8
austria,Austria,AT,AUT,https://clintongreen.github.io/vexx-assets/flags/at.png,Europe • Central Europe,The red and white triband is one of the world's oldest national flag designs.,Government,#F4D2B8,https://clintongreen.github.io/vexx-assets/categories/government.png,Republic,Size,#E8D7B8,https://clintongreen.github.io/vexx-assets/categories/size.png,"83,871 km²",white,red,,,,https://clintongreen.github.io/vexx-assets/colours/white.png,https://clintongreen.github.io/vexx-assets/colours/red.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,https://clintongreen.github.io/vexx-assets/colours/blank.png,,,,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,https://clintongreen.github.io/vexx-assets/symbols/blank.png,horizontal-triband,https://clintongreen.github.io/vexx-assets/patterns/horizontal-triband.png,5
